Id,Action
1,0.5588959212641288
2,0.9978925926742606
3,1
4,0.9141354392962561
5,0.9987649851549283
6,1
7,0.9780107881753569
8,0.9887822868548076
9,0.8246042203440326
10,0.9820729550796078
11,1
12,0.9632071704214387
13,0.9805274188247505
14,0.8815038539552534
15,0.9592707406094868
16,0.9961080707065989
17,0.9796554707541514
18,0.856025551766475
19,1
20,0.9920225499398347
21,1
22,0.9808645974013767
23,0.9133445265536663
24,0.9860142815957703
25,0.96589754361833835
26,0.9765955936659778
27,0.9882181823686247
28,0.8323517184663559
29,0.9666250701641488
30,0.9108653021110136
31,0.993083402506425
32,0.9801416881596374
33,0.9679744046095703
34,0.9611661363876389
35,1
36,0.9818513620975122
37,0.9777702198719749
38,1
39,0.9490404638954718
40,0.8567609497302638
41,0.9004688907683003
42,1
43,0.9795900437816872
44,0.9888733186280236
45,0.9777384706092537
46,0.966535155142434
47,1
48,0.979567445128049
49,0.9929699066131492
50,0.9835723062999184
51,0.9988517017110836
52,0.9847326601719703
53,0.9787919780492571
54,0.9885372117981931
55,0.9036209085519694
56,0.923853173291619
57,0.9727051723234619
58,1
59,0.9381226532649293
60,0.9994751829381519
61,1
62,0.9799548001001865
63,0.9945629694288884
64,0.9749471923439916
65,0.9989375324024439
66,0.9971310576964809
67,0.9772925576651533
68,0.9874404844754013
69,0.8975752054477246
70,0.8912551551627856
71,0.9047701755356107
72,0.9949238762944008
73,0.9223914133244216
74,0.9985888089262867
75,0.9913789999022365
76,0.9979408921431975
77,1
78,0.8404114206590128
79,0.7921833594167679
80,1
81,0.9974444087431588
82,0.9838081835017449
83,1
84,1
85,0.9914821781730143
86,0.9427481012452498
87,0.9333325914305712
88,1
89,0.9929863628462734
90,0.8582501563651956
91,0.9663338523111471
92,0.9433548089544819
93,1
94,0.846191577921071
95,1
96,0.9967361639984624
97,0.5263188545139901
98,1
99,0.9980840966855866
100,0.9993133387443809
101,0.985693236714145
102,0.5867777844052827
103,0.9785397487719237
104,0.9709122563907435
105,0.5431197333884368
106,0.9373086906164317
107,0.9963325946621828
108,0.8857254159483477
109,0.990312916030086
110,0.9940037381107972
111,0.7472039316715802
112,0.9080929374849409
113,0.997184148607126
114,1
115,0.9290486865285049
116,1
117,0.9875607018336763
118,0.9825724879048888
119,1
120,0.9776412815006218
121,0.9813953738284178
122,0.9816596549754585
123,0.6790025099332497
124,0.9721108363934077
125,1
126,0.8277037678291307
127,0.8973501688668916
128,0.9210288473761927
129,0.9665878548714687
130,0.8601540363730017
131,0.9940158375277904
132,0.9917816498491517
133,0.983415771973312
134,0.8540193314529921
135,1
136,0.851604650627714
137,0.9986332027748236
138,0.9951267245121346
139,0.8684389749111692
140,1
141,0.9747755802764565
142,0.8853740875494442
143,0.9850006752888067
144,0.9678062845670338
145,1
146,0.7597589363944381
147,0.8889605943167196
148,0.9150262343084251
149,0.9941757945574797
150,0.9824250614239027
151,0.9913256804746732
152,0.9842964656142258
153,0.9804533023840487
154,0.889975458822306
155,0.9843808573437829
156,0.9541798866769191
157,0.9969696100836829
158,0.9512926898648142
159,1
160,0.9573261489269104
161,0.8788877000940499
162,0.9632818617212935
163,0.9897838482767682
164,1
165,0.9985888089262867
166,0.9991066171338063
167,0.9378963231089399
168,1
169,0.953813542005677
170,0.9984541878860861
171,0.9907655821829986
172,1
173,0.988437001034928
174,1
175,1
176,0.9816969305455054
177,0.9083042002707181
178,1
179,1
180,0.8889605943167196
181,0.5576746375311935
182,0.8601540363730017
183,0.9206389365098303
184,0.8899951059535209
185,0.996772035269424
186,0.6914607865239746
187,1
188,0.9901109550066397
189,0.696865287341499
190,0.9838517382064631
191,1
192,0.999435007827304
193,1
194,0.9901875255364245
195,0.988731052134345
196,1
197,0.9919853686596753
198,0.9618752626287891
199,0.9794618133970685
200,0.62435722571537
201,0.976564269814768
202,0.9469955873774413
203,0.9080689134867168
204,0.9415672096846691
205,0.967959773291955
206,0.9677026314854914
207,0.9968047783578344
208,0.9533809826415947
209,0.8188263173830892
210,0.9880631130052963
211,0.970647145222085
212,0.8829317506221731
213,1
214,0.8816857794356695
215,1
216,0.930385504921043
217,0.9781210204894203
218,0.9966929287134532
219,1
220,0.958365487116328
221,0.8420679475001224
222,1
223,1
224,0.9675029802420785
225,0.9694387954997278
226,0.7852803741928875
227,0.8697247483144357
228,0.965681150756174
229,1
230,1
231,0.941948656375784
232,0.9068138744813481
233,0.9911701988554968
234,0.8278225446155363
235,0.965892530882908
236,0.9499433267742429
237,0.9786079168494977
238,1
239,0.9747135073877717
240,1
241,0.9957420163041425
242,0.6439295313543567
243,0.7479389631157524
244,1
245,0.9775783616439541
246,1
247,0.9813232879016728
248,0.9502426843973079
249,0.9951363733929882
250,1
251,0.9982248380105642
252,0.9615536169439384
253,0.9934252242249068
254,0.9871628096890992
255,0.9975461831286849
256,0.9980190278965543
257,0.9898943610292765
258,0.8821802803418088
259,0.9284256392107584
260,1
261,0.9982537496003323
262,0.9795202776472643
263,0.9667094966144395
264,0.9831243713085566
265,1
266,0.9533809826415947
267,0.9159602737276195
268,0.9862367114893593
269,0.9951363733929882
270,0.9850004292627319
271,0.990962251274153
272,0.9033577182934747
273,0.97617705538581
274,0.9344191955535995
275,0.9943122566902654
276,0.8166911021754835
277,0.9867871168503187
278,0.9949309044294468
279,0.8938567301546987
280,0.8694364552609988
281,1
282,0.9789156711186289
283,0.8688152358179092
284,0.9686708555732024
285,0.9789239172760718
286,0.9501236556170831
287,0.9966929287134532
288,1
289,0.9368921906126674
290,1
291,0.909871198216583
292,0.9006525380738534
293,0.9606788988977317
294,0.94539390897164
295,0.9748951407628088
296,0.5194177474897732
297,0.6973993145757458
298,0.9727240644912547
299,0.43581257091574144
300,0.9812434086699859
301,0.9301308888291757
302,0.979665610700667
303,0.5018701470954396
304,0.7984936431586784
305,0.9946483518750716
306,0.980751513060099
307,0.9914821781730143
308,1
309,0.9176237865785125
310,0.9927917639848504
311,0.9820993032666888
312,0.9752559047456777
313,0.9976964673073373
314,0.9422910309503016
315,1
316,1
317,0.9548221201307898
318,0.9638202700816358
319,0.8171909806642409
320,0.9998669527507806
321,0.9941757945574797
322,0.444292432340213
323,1
324,1
325,0.9968601083071514
326,0.8592443792542667
327,1
328,0.9993133387443809
329,0.990615162743346
330,1
331,0.9428910831071253
332,0.9585939787532007
333,0.9858008724209424
334,0.8966096704922887
335,1
336,0.9653209694290672
337,0.9881872753259656
338,0.9687329325456525
339,0.936057197106149
340,0.9755779913397638
341,0.9430136928813424
342,1
343,0.7620386847854461
344,1
345,0.9983632108712223
346,0.9897312433140774
347,0.7951724406966916
348,0.8626887998110894
349,0.9964060496149808
350,0.9279183126677489
351,0.9313347360805031
352,0.9913789999022365
353,0.9586714319181212
354,0.6268928813763264
355,0.9999432244582982
356,0.9995945927502866
357,0.9171838563336768
358,0.9639650654774771
359,0.9869512333681599
360,0.8157737903239797
361,0.9661305389725161
362,0.9977258721027145
363,0.9775380197934203
364,0.405877250013086
